,Current Class,FACTOR: COST,FACTOR: LOCATION,FACTOR: PROGRAM,FACTOR: ONLINE,FACTOR: REFERRAL,FACTOR: STAFF,FACTOR: COLLEGE REPUTATION,FACTOR: FINANCIAL AID,FACTOR: SCHOLARSHIPS,FACTOR: CLASS SIZE (S),FACTOR: OPPORTUNITY,FACTOR: TRANSFERING IN,FACTOR: PAST NEGATIVE EXPERIENCE,FACTOR: NJ STARS,FACTOR: TRANSFERING OUT,FACTOR: CREDIT IN HIGHSCHOOL,DEGREE/PROGRAM,CONTINUED INTEREST (1-5),INTEREST: WEB DEVELOPMENT,INTEREST: CYBERSECURITY,INTEREST: APP DEVELOPMENT,INTEREST: DATA ANALYTICS,INTEREST: ARTIFICIAL INTELLIGENCE,INTEREST: COMPUTER PROGRAMMING,INTEREST: GAME DESIGN,INTEREST: HARDWARE INSTALLATION & REPAIR,Age
94,CMP 135 Computer Concepts with Applications,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,,Some Impact,No Impact,Criminal Justice,2,No,Yes,No,No,No,No,No,No,25-34
95,CMP 135 Computer Concepts with Applications,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,2,No,No,No,No,Yes,No,Yes,No,21-24
96,CMP 135 Computer Concepts with Applications,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Radiography,4,No,Yes,No,Yes,Yes,Yes,No,Yes,25-34
97,CMP 135 Computer Concepts with Applications,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Radiography,3,No,No,No,No,No,No,No,No,18 and younger
98,CMP 101 Computer Information Literacy,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,3,No,Yes,No,No,No,No,No,No,25-34
99,CMP 135 Computer Concepts with Applications,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Fire Science Technologies ,2,No,Yes,No,No,No,No,No,No,21-24
100,CMP 135 Computer Concepts with Applications,High Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Criminal Justice,1,No,No,No,No,No,No,No,No,19-20
101,CMP 101 Computer Information Literacy,Some Impact,No Impact,No Impact,,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,,,,High Impact,High Impact,High Impact,Nursing,3,No,No,No,No,No,No,No,No,21-24
102,CMP 135 Computer Concepts with Applications,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,,,High Impact,,Radiography,5,Yes,Yes,Yes,No,Yes,Yes,No,Yes,25-34
103,CMP 135 Computer Concepts with Applications,Some Impact,Some Impact,High Impact,No Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,Music Technology,3,Yes,No,Yes,No,No,No,Yes,Yes,21-24
104,CMP 135 Computer Concepts with Applications,High Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,Public Health,2,Yes,Yes,No,No,Yes,No,No,Yes,21-24
